language_code,language_name,app_name,short_description,full_description
hi,Hindi,SnapSweep,डुप्लिकेट फोटो और स्क्रीनशॉट साफ़ करें.,SnapSweep एक बेहतरीन AI-संचालित स्टोरेज क्लीनर और गैलरी ऑर्गनाइज़र है। स्टोरेज स्पेस खाली करने के लिए डुप्लिकेट फ़ोटो और स्क्रीनशॉट तुरंत हटाएँ।
tr,Turkish,SnapSweep,Yinelenen fotoğrafları temizle.,SnapSweep, yapay zeka destekli nihai depolama temizleyicisi ve galeri düzenleyicisidir. Yinelenen fotoğrafları otomatik olarak tespit edin ve silin.
nl,Dutch,SnapSweep,Schoon dubbele foto's & screenshots op.,SnapSweep is de ultieme AI-gedreven opslagreiniging en galerijorganisator. Detecteer en verwijder automatisch dubbele foto's en screenshots om direct opslagruimte vrij te maken.
pl,Polish,SnapSweep,Oczyść duplikaty zdjęć i zrzuty.,SnapSweep to zaawansowany aplikacja do czyszczenia pamięci masowej i organizacji galerii oparta na sztucznej inteligencji. Automatycznie wykrywaj i usuwaj duplikaty zdjęć.
vi,Vietnamese,SnapSweep,Dọn dẹp ảnh trùng lặp & ảnh chụp.,SnapSweep là ứng dụng dọn dẹp bộ nhớ và tổ chức thư viện ảnh hỗ trợ AI tối ưu. Tự động phát hiện và xóa ảnh trùng lặp, hình ảnh mờ và ảnh chụp màn hình không cần thiết để giải phóng dung lượng.
id,Indonesian,SnapSweep,Bersihkan foto duplikat & tangkapan.,SnapSweep adalah pembersih penyimpanan dan pengatur galeri bertenaga AI terbaik. Deteksi dan hapus foto duplikat secara otomatis untuk mengosongkan ruang penyimpanan.
th,Thai,SnapSweep,ทำความสะอาดรูปภาพซ้ำและภาพหน้าจอ.,SnapSweep เป็นแอปทำความสะอาดพื้นที่จัดเก็บข้อมูลและจัดระเบียบแกลเลอรีอัจฉริยะที่ขับเคลื่อนด้วย AI ตรวจจับและลบภาพซ้ำ ภาพเบลอ และภาพหน้าจอที่ไม่ต้องการเพื่อเพิ่มพื้นที่ว่าง
sv,Swedish,SnapSweep,Rensa dubbletter och skärmdumpar.,SnapSweep är den ultimata AI-drivna lagringsrensaren och galleriorganisatören. Upptäck och ta bort dubbletter och skärmdumpar automatiskt för att frigöra utrymme.
uk,Ukrainian,SnapSweep,Очищення фото та скріншотів.,SnapSweep — це найкращий інструмент для очищення пам'яті на основі штучного інтелекту. Автоматично знаходьте та видаляйте дублікати фотографій та непотрібні скріншоти.
el,Greek,SnapSweep,Καθαρισμός διπλών φωτογραφιών.,SnapSweep είναι ο απόλυτος καθαριστής αποθηκευτικού χώρου με τεχνητή νοημοσύνη. Εντοπίστε και αφαιρέστε αυτόματα διπλότυπες φωτογραφίες και στιγμιότυπα οθόνης.
cs,Czech,SnapSweep,Vyčistit duplicitní fotky a snímky.,SnapSweep je špičkový čistič úložiska a organizátor galerie poháněný umělou inteligencí. Automaticky detekujte a odstraňte duplicitní fotografie.
hu,Hungarian,SnapSweep,Duplikált fotók és képernyőképek.,SnapSweep a tökéletes mesterséges intelligencia alapú tárhelytisztító és galéria rendszerező. Automatikusan észleli és eltávolítja a duplikált fotókat.
ro,Romanian,SnapSweep,Curăță fotografii duplicate și capturi.,SnapSweep este aplicația supremă de curățare a stocării bazată pe inteligență artificială. Detectează și elimină automat fotografiile duplicate și capturile de ecran.
da,Danish,SnapSweep,Rens dublerede fotos og skærmbilleder.,SnapSweep er den ultimative AI-drevne lagerrenser og galleriarrangør. Find og fjern dublerede fotos og skærmbilleder automatisk.
fi,Finnish,SnapSweep,Puhdista kaksoiskappaleet ja kuvat.,SnapSweep on älykäs tekoälypohjainen tallennustilan puhdistaja ja gallerian järjestäjä. Tunnista ja poista kaksoiskappaleet automaattisesti.
no,Norwegian,SnapSweep,Rens duplikate bilder og skjermbilder.,SnapSweep er den ultimate AI-drevne lagringsrenseren. Oppdag og fjern duplikate bilder og skjermbilder automatisk for å frigjøre lagringsplass.
sk,Slovak,SnapSweep,Vyčistiť duplicitné fotky.,SnapSweep je dokonalý čistič úložiska poháňaný AI. Automaticky detekujte a odstráňte duplicitné fotografie a snímky obrazovky na uvoľnenie miesta.
bg,Bulgarian,SnapSweep,Почистване на дублиращи се снимки.,SnapSweep е най-доброто приложение за почистване на памет и организиране на галерия с изкуствен интелект. Откривайте и премахвайте дублиращи се снимки.
hr,Croatian,SnapSweep,Očistite duple fotografije.,SnapSweep je vrhunski čistač pohrane i organizator galerije s umjetnom inteligencijom. Automatski otkrijte i uklonite duple fotografije i snimke zaslona.
sr,Serbian,SnapSweep,Očistite duplirane fotografije.,SnapSweep je vrhunski čistač memorije i organizator galerije sa veštačkom inteligencijom. Automatski detektujte i uklonite duplirane fotografije.
sl,Slovenian,SnapSweep,Počisti podvojene fotografije.,SnapSweep je vrhunski čistilec pomnilnika in organizator galerije z umetno inteligenco. Samodejno zaznajte in odstranite podvojene fotografije.
et,Estonian,SnapSweep,Puhasta dubleegitud fotod.,SnapSweep on ülim tehisintellektil põhinev salvestusruumi puhastaja ja galerii korraldaja. Tuvastage ja eemaldage dubleegitud fotod automaatselt.
lt,Lithuanian,SnapSweep,Išvalykite pasikartojančias nuotraukas.,SnapSweep yra geriausia dirbtiniu intelektu pagrįsta saugyklos valymo ir galerijos organizavimo programėlė. Automatiškai aptikite ir pašalinkite dubliuojamates nuotraukas.
lv,Latvian,SnapSweep,Notīrīt dublētos fotoattēlus.,SnapSweep ir labākā ar AI darbināmā krātuves tīrīšanas un galerijas organizēšanas lietotne. Automātiski atklājiet un noņemiet dublētos fotoattēlus.
sq,Albanian,SnapSweep,Pastro fotot e dyfishta.,SnapSweep është pastruesi përfundimtar i ruajtjes i mundësuar nga AI dhe organizuesi i galerisë. Zbuloni dhe hiqni automatikisht fotot e dyfishta.
mk,Macedonian,SnapSweep,Исчистете дупликат фотографии.,SnapSweep е врвна апликација за чистење меморија со вештачка интелигенција. Автоматски откривајте и отстранувајте дупликат фотографии.
bs,Bosnian,SnapSweep,Očistite duple fotografije.,SnapSweep je vrhunski čistač pohrane s umjetnom inteligencijom. Automatski otkrijte i uklonite duple fotografije i snimke zaslona.
ms,Malay,SnapSweep,Bersihkan foto duplik dan tangkapan.,SnapSweep ialah pembersih storan berkuasa AI muktamad. Kesan dan alih keluar foto duplik secara automatik untuk mengosongkan ruang.
fil,Filipino,SnapSweep,Linisin ang mga duplicate na larawan.,SnapSweep ang pinakamahusay na AI storage cleaner at gallery organizer. Awtomatikong tuklasin at alisin ang mga duplicate na larawan.
sw,Swahili,SnapSweep,Safisha picha na viwianishi.,SnapSweep ni kisafishaji bora cha hifadhi kinachoendeshwa na AI. Gundua na uondoe picha rudufu kiotomatiki ili uweke huru nafasi.
bn,Bengali,SnapSweep,ডুপ্লিকেট ছবি ও স্ক্রিনশট পরিষ্কার করুন।,SnapSweep হল একটি শক্তিশালী এআই-চালিত স্টোরেজ ক্লিনার এবং গ্যালারি অর্গানাইজার। স্পেস খালি করতে ডুপ্লিকেট ছবি সরান।
ta,Tamil,SnapSweep,நகல் புகைப்படங்களை சுத்தம் செய்யவும்.,SnapSweep என்பது இறுதி AI அடிப்படையிலான சேமிப்பக தூய்மைப்படுத்தி மற்றும் கேலரி அமைப்பாளர் ஆகும்.
te,Telugu,SnapSweep,నకల్ ఫోటోలను శుభ్రం చేయండి.,SnapSweep అనేది శక్తివంతమైన AI స్టోరేజ్ క్లీనర్ మరియు గ్యాలరీ ఆర్గనైజర్.
ml,Malayalam,SnapSweep,ഡ്യൂപ്ലിക്കേറ്റ് ഫോട്ടോകൾ നീക്കം ചെയ്യുക.,SnapSweep എന്നത് ശക്തമായ AI സ്റ്റോറേജ് ക്ലീനർ ആണ്. ഡ്യൂപ്ലിക്കേറ്റ് ഫോട്ടോകളും സ്ക്രീൻഷോട്ടുകളും നീക്കം ചെയ്യുക.
mr,Marathi,SnapSweep,डुप्लिकेट फोटो आणि स्क्रीनशॉट काढा.,SnapSweep हे एक शक्तिशाली AI स्टोरेज क्लिनर आणि गॅलरी ऑर्गनायझर आहे.
gu,Gujarati,SnapSweep,ડુપ્લિકેટ ફોટા અને સ્ક્રીનશૉટ્સ સાફ કરો.,SnapSweep એ અંતિમ AI-સંચાલિત સ્ટોરેજ ક્લીનર અને ગેલેરી ઓર્ગેનાઇઝર છે.
pa,Punjabi,SnapSweep,ਡੁਪਲੀਕੇਟ ਫੋਟੋਆਂ ਸਾਫ਼ ਕਰੋ.,SnapSweep ਇੱਕ ਸ਼ਕਤੀਸ਼ਾਲੀ AI ਸਟোরেਜ ਕਲੀਨਰ ਅਤੇ ਗੈਲरी ਆਰਗਨਾਈਜ਼ਰ ਹੈ।
ur,Urdu,SnapSweep,ڈپلیکیٹ تصاویر صاف کریں۔,SnapSweep حتمی AI سے چلنے والا اسٹوریج کلینر اور گیلری آرگنائزر ہے۔
fa,Persian,SnapSweep,پاکسازی عکس‌های تکراری.,SnapSweep پاک‌کننده فضای ذخیره‌سازی پیشرفته با هوش مصنوعی است. عکس‌های تکراری و اسکرین‌شات‌ها را پاک کنید.
az,Azerbaijani,SnapSweep,Dublikat fotoşəkilləri təmizləyin.,SnapSweep süni intellektlə işləyən son yaddaş təmizləyicisi və qalereya təşkilatçısıdır.
ka,Georgian,SnapSweep,დუბликаტი ფოტოების გასუფთავება.,SnapSweep არის საუკეთესო AI საცავის საწმენდი და გალერეის ორგანიზატორი.
hy,Armenian,SnapSweep,Մաքրել կրկնօրինակ լուսանկարները.,SnapSweep-ը արհեստական ​​ինտելեկտով աշխատող հիշողության մաքրման լավագույն հավելվածն է։
kk,Kazakh,SnapSweep,Қайталанған фотоларды тазалау.,SnapSweep - бұл жасанды интеллектпен жұмыс істейтін ең жақсы жадты тазалау және галереяны ұйымдастыру қолданбасы.
ky,Kyrgyz,SnapSweep,Кайталанган сүрөттөрдү тазалоо.,SnapSweep - бул жасалма интеллект менен иштеген сактагычты тазалоочу колдонмо.
uz,Uzbek,SnapSweep,Takroriy fotosuratlarni tozalash.,SnapSweep – bu sun'iy intellektga asoslangan xotirani tozalash va galereyani tashkil qilish ilovasi.
mn,Mongolian,SnapSweep,Дубликат зургийг цэвэрлэх.,SnapSweep бол хиймэл оюун ухаанаар ажилладаг хадгалах сан цэвэрлэгч юм.
ne,Nepalese,SnapSweep,डပ်्प्लिकेट फोटोहरू सफा गर्नुहोस्.,SnapSweep एक शक्तिशाली AI भण्डारण क्लीनर र ग्यालरी आयोजक हो।
si,Sinhala,SnapSweep,අනුපිටපත් ඡායාරූප ඉවත් කරන්න.,SnapSweep යනු ප්‍රබල AI ධාරිතා පිරිසිදුකාරකයකි.
zu,Zulu,SnapSweep,Hlanza izithombe eziyimvume.,SnapSweep isicelo sokuhlanza isitoreji esinamandla se-AI.
